"","CASEID","comment_text","Freedom.and.Rights","E.plurabus.Unum","representation.of.the.people","popular.will.and.equality","National.identity.and.heritage","Not.a.democracy.a.Republic","flawed.democracy","Institution.and.constitution","unclassified.other","Don.t.know","nothing.disaffected","Nothing.more.to.add","NA."
"48",2061382367,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"49",2055581081,"FREEDOM OF EXPRESSION AND ALL THAT ENTITLES YOU TO",1,0,0,0,0,0,0,0,0,0,0,0,0
"50",2057836329,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"51",2057376689,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"52",2058041493,"The US Constitution and Bill of Rights (First Ten Amendments).",1,0,0,0,0,0,0,1,0,0,0,0,0
"53",2057934851,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"54",2059351933,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"55",2058402379,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"56",2059431823,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"57",2058328067,"Democracy isn't truly freeing as is our Constitutional republic.",0,0,0,0,0,1,0,0,0,0,0,0,0
"58",2059324993,"freedom to worship pursuit of happiness",1,0,0,0,0,0,0,0,0,0,0,0,0
"59",2056570767,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"60",2057444125,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"61",2058556591,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"62",2057481091,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"63",2058277845,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"64",2058252485,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"65",2057310523,"Freedom",1,0,0,0,0,0,0,0,0,0,0,0,0
"66",2056636029,"Freedom to choose. I like parliamentary democracy over the US Representational system.",0,0,0,1,0,0,0,0,0,0,0,0,0
"67",2058252705,"the will of the people to have a say in their government",0,0,0,1,0,0,0,0,0,0,0,0,0
"68",2058254277,"Individual liberty, free and fair elections, controlled capitalism",1,0,0,1,0,0,0,0,0,0,0,0,0
"69",2058208355,"Democracy, when not manipulated by those in power, is self-governance. It means I choose who represents me in creating laws and regulations that represent my desires in policy.",0,0,0,1,0,0,1,0,0,0,0,0,0
"70",2058966405,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"71",2058007277,"Freedom, freedom of speech, religion, voting",1,0,0,1,0,0,0,0,0,0,0,0,0
"72",2056529821,"Freedom to debate issues no matter what side you are on. To have the choice as to how you want to live and worship together,",1,0,0,0,0,0,0,0,0,0,0,0,0
"73",2058334919,"The freedom to live within the law and do what you want as long as you don't hurt anyone.",1,0,0,0,0,0,0,0,0,0,0,0,0
"74",2058678771,"Respect everyone right",1,0,0,0,0,0,0,0,0,0,0,0,0
"75",2058667175,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"76",2058374427,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"77",2059351937,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"78",2059351939,"freedom to be me",1,0,0,0,0,0,0,0,0,0,0,0,0
"79",2060383531,"It means the people working together to run government",0,0,0,1,0,0,0,0,0,0,0,0,0
"80",2058939251,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"81",2058159369,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"82",2057373725,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"83",2057554033,"Making sure Donald Trump doesn't return to the presidency!",0,0,0,0,0,0,0,0,1,0,0,0,0
"84",2058567529,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"85",2059442885,"majority rule",0,0,0,1,0,0,0,0,0,0,0,0,0
"86",2058939481,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"87",2058252401,"Involving the all people to make the best choices for the nation",0,0,0,1,0,0,0,0,0,0,0,0,0
"88",2058374889,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"89",2058233481,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"90",2058295927,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"91",2057759011,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"92",2057900227,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"93",2059410031,"That the people are in charge of their future and representatives.",0,0,0,1,0,0,0,0,0,0,0,0,0
"94",2058301945,"In the sense of the United States I consider it a Republic not a true democracy which would be a mess.",0,0,0,0,0,1,0,0,0,0,0,0,0
"95",2057005771,"Fair representation from a fairly elected government.",0,0,1,1,0,0,0,0,0,0,0,0,0
"96",2059351941,"Means the freedom to choose",0,0,0,1,0,0,0,0,0,0,0,0,0
"97",2041920629,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"98",2060866807,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"99",2059249467,"honesty, security, and equality",0,0,0,1,0,0,0,0,0,0,0,0,0
"100",2058685781,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"101",2058685831,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"102",2058865055,"Freedom to have the same rights for all",1,0,0,0,0,0,0,0,0,0,0,0,0
"103",2058130209,"one of the forms of government by humans",0,0,0,0,0,0,0,0,1,0,0,0,0
"104",2058873301,"Everyone has a voice",0,0,0,1,0,0,0,0,0,0,0,0,0
"105",2058764009,"everyone free and treated fairly",1,0,0,0,0,0,0,0,0,0,0,0,0
"106",2057475309,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"107",2057101231,"Democracy means people have the freedom to vote for whomever they wish",0,0,0,1,0,0,0,0,0,0,0,0,0
"108",2059351943,"Our freedom",1,0,0,0,0,0,0,0,0,0,0,0,0
"109",2059929631,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"110",2058807127,"Freedom, somewhat",1,0,0,0,0,0,1,0,0,0,0,0,0
"111",2058706311,"Freedom",1,0,0,0,0,0,0,0,0,0,0,0,0
"112",2053599197,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"113",2057777645,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"114",2057445287,"Freedom to vote",0,0,0,1,0,0,0,0,0,0,0,0,0
"115",2060798797,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"116",2058253871,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"117",2057497833,"The citizens get to vote for several branches of government",0,0,0,1,0,0,0,0,0,0,0,0,0
"118",2059351945,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"119",2056451087,"It means that every person has a voice in how our country runs. It means that each person is responsible for and to themselves and each other. It means that elections matter, and that we can count on peaceful transfer of power.",0,0,0,1,0,0,0,0,0,0,0,0,0
"120",2059174105,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"121",2059351949,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"122",2050149793,"In a Democracy the majority rules. If the majority decided they want your property they could take it.",0,0,0,1,0,0,1,0,0,0,0,0,0
"123",2059351951,"For the people!!",0,0,0,1,0,0,0,0,0,0,0,0,0
"124",2059035791,"Freedom and prosperity",1,0,0,0,0,0,0,0,0,0,0,0,0
"125",2060759483,"Freedom to select / deselect government leaders peacefully by vote & havine a say in making of laws & judiciary.",0,0,0,1,0,0,0,0,0,0,0,0,0
"126",2058006039,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"127",2059403751,"Freedom, secularism, equality.",1,0,0,1,0,0,0,0,0,0,0,0,0
"128",2056783287,"The USA is a democratic republic, not a democracy. I'm stealing this from Wikipedia... in a democracy, the people have the authority to deliberate and decide legislation.",0,0,0,0,0,1,0,0,0,0,0,0,0
"129",2057936491,"Freedom to live my life as I see fit",1,0,0,0,0,0,0,0,0,0,0,0,0
"130",2058942205,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"131",2058419873,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"132",2058768041,"Corruption",0,0,0,0,0,0,1,0,0,0,0,0,0
"133",2058328539,"Democracy is government by majority. True democracies are oppressive to minorities and there has never been a lasting true democracy. We have a republic, where the people elect representatives to govern them.",0,0,0,0,0,1,0,0,0,0,0,0,0
"134",2058846645,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"135",2058419123,"The people decides more than the government",0,0,0,1,0,0,0,0,0,0,0,0,0
"136",2058311185,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"137",2059351953,"Nothing, this is a Republic, not a democracy.",0,0,0,0,0,1,0,0,0,0,0,0,0
"138",2059313169,"freedom",1,0,0,0,0,0,0,0,0,0,0,0,0
"139",2058276911,"control of a state by members of government who are voted in by the majority of citizens",0,0,0,1,0,0,0,0,0,0,0,0,0
"140",2057147161,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"141",2056668465,"Rule under law, not by human decision so lone. State of principles that are followed in governing, representative institutions",0,0,0,0,0,0,0,1,0,0,0,0,0
"142",2057374117,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"143",2057440783,"Government elected by the people",0,0,0,1,0,0,0,0,0,0,0,0,0
"144",2058815163,"Democracy is the governing position where citizens of the country have certain rights and protections under the law. The government manages the business of running the country in a fair and efficient way. People have rights to freedom of speech, the right to vote, and other protections.",1,0,0,1,0,0,0,0,0,0,0,0,0
"145",2059351957,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"146",2061622169,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"147",2058082087,"Freedom to voice opinion and vote to elect leaders who make policy for the people.",1,0,0,1,0,0,0,0,0,0,0,0,0
"148",2057101537,"Mess up.",0,0,0,0,0,0,0,0,1,0,0,0,0
"149",2059351959,"Democracy means majority rules. The U.S. is not a democracy and never was.",0,0,0,1,0,1,0,0,0,0,0,0,0
"150",2057967455,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"151",2057867941,"That a people equally self determine their government and culture.",0,0,0,1,0,0,0,0,0,0,0,0,0
"152",2057135567,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"153",2058278369,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"154",2058799091,"Right to life, liberty, freedom.",1,0,0,0,0,0,0,0,0,0,0,0,0
"155",2059351961,"Freedom of choice, thoughts, expressions",1,0,0,1,0,0,0,0,0,0,0,0,0
"156",2056936969,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"157",2058442875,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"158",2058424909,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"159",2059351963,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"160",2058083245,"freedom",1,0,0,0,0,0,0,0,0,0,0,0,0
"161",2058780453,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"162",2059351965,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"163",2059351967,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"164",2057778381,"Freedom. Able to disagree with people or the government and not get put in jail. Womens rights.",1,0,0,0,0,0,0,0,0,0,0,0,0
"165",2060347513,"The USA Constitution.",0,0,0,0,0,0,0,1,0,0,0,0,0
"166",2058424847,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"167",2058278637,"It means that there are options to choose or vote on who will be in charge and speak or act on behalf of our people.",0,0,0,1,0,0,0,0,0,0,0,0,0
"168",2058554257,"That corrupt politicians can do whatever what they want.",0,0,0,0,0,0,1,0,0,0,0,0,0
"169",2058007413,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"170",2057811219,"It means that citizens have a say in how they are governed.",0,0,0,1,0,0,0,0,0,0,0,0,0
"171",2058295835,"Every person getting a fair vote and accepting the results, even when you lose. Politicians competing on *ideas* instead of *identity* or culture war bullshit.",0,0,0,1,0,0,0,0,0,0,0,0,0
"172",2058505081,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"173",2058232843,"The ability of individuals to have a day in how the government operates",0,0,0,1,0,0,0,0,0,0,0,0,0
"174",2058844009,"having a voice",0,0,0,1,0,0,0,0,0,0,0,0,0
"175",2059351971,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"176",2057205119,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"177",2057174257,"It means nothing to me as this country is a republic",0,0,0,0,0,1,0,0,0,0,0,0,0
"178",2059329777,"one man one vote",0,0,0,1,0,0,0,0,0,0,0,0,0
"179",2061440489,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"180",2057506135,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"181",2057971277,"Freedom of Choice. Freedom of Speech. Freedom to Change for the better. Freedom to run for a political office.",1,0,0,1,0,0,0,0,0,0,0,0,0
"182",2057897139,"Majority rule, but we are not a democracy. We are a constitutional republic.",0,0,0,0,0,1,0,0,0,0,0,0,0
"183",2057865209,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"184",2058327527,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"185",2058328519,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"186",2060859255,"important",0,0,0,0,0,0,0,0,1,0,0,0,0
"187",2059351973,"What it means to be a American",0,0,0,0,1,0,0,0,0,0,0,0,0
"188",2061659471,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"189",2057981435,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"190",2055327799,"I believe that the United States is a Republic.Why is it constantly called a Democracy?",0,0,0,0,0,1,0,0,0,0,0,0,0
"191",2057340231,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"192",2059351975,"Freedom. Rights.",1,0,0,0,0,0,0,0,0,0,0,0,0
"193",2058396545,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"194",2056741823,"Freedom of religion and freedom of speech freedom to elect your officials Due process if you are accused of wrongdoing. Life liberty and the pursuit of happiness",1,0,0,0,0,0,0,0,0,0,0,0,0
"195",2059434537,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"196",2059351977,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"197",2057480093,"Freedom",1,0,0,0,0,0,0,0,0,0,0,0,0
"198",2057445721,"democracy means that is freedom",1,0,0,0,0,0,0,0,0,0,0,0,0
"199",2057968789,"by the people",0,0,0,1,0,0,0,0,0,0,0,0,0
"200",2057625715,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"201",2058396749,"it means the the government is acting as a group in decision making and I don't think their decisions have been good lately",0,0,0,0,0,0,1,1,0,0,0,0,0
"202",2058116011,"a government run for the people by the people",0,0,0,1,0,0,0,0,0,0,0,0,0
"203",2058114087,"freedom !",1,0,0,0,0,0,0,0,0,0,0,0,0
"204",2057778235,"Individual freedoms, bound by laws which are set forth to insure that all are equal under these laws.",1,0,0,1,0,0,0,0,0,0,0,0,0
"205",2059324839,"freedom to choose leaders constitutional rights equality",0,0,0,1,0,0,0,0,0,0,0,0,0
"206",2058144297,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"207",2057101345,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"208",2057343541,"To means is means freedom to choose.",0,0,0,1,0,0,0,0,0,0,0,0,0
"209",2057758915,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"210",2058996945,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"211",2058997101,"freedom",1,0,0,0,0,0,0,0,0,0,0,0,0
"212",2059404157,"Freedom to live my life as I please. To Pursue my idea of a good life to provide for myself and my family.",1,0,0,0,0,0,0,0,0,0,0,0,0
"213",2059312489,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"214",2058659287,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"215",2057971107,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"216",2058127957,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"217",2058252587,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"218",2060426189,"Equal rights and justice.",1,0,0,0,0,0,0,0,0,0,0,0,0
"219",2059351979,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"220",2058823653,"Freedom",1,0,0,0,0,0,0,0,0,0,0,0,0
"221",2059351981,"freedom of choice",0,0,0,1,0,0,0,0,0,0,0,0,0
"222",2058794553,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"223",2059351983,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"224",2059351985,"Running the country right",0,0,0,0,0,0,0,0,1,0,0,0,0
"225",2057497959,"Freedom from outside sources.",1,0,0,0,0,0,0,0,0,0,0,0,0
"226",2059166789,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"227",2058117611,"Freedoms laid out in the bill of rights. free to be me",1,0,0,0,0,0,0,0,0,0,0,0,0
"228",2058665723,"The freedom to do a lot of things",1,0,0,0,0,0,0,0,0,0,0,0,0
"229",2057436679,"It means freedom, liberty and justice.",1,0,0,0,0,0,0,0,0,0,0,0,0
"230",2058235981,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"231",2056325151,"democracy means that our government is supposed to be taking care of our Anerican Citizens",0,0,0,1,0,0,0,0,0,0,0,0,0
"232",2058798631,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"233",2059309949,"Having the choice to pick, having the choice to vote, having the ability to know our government cares.",0,0,0,1,0,0,0,0,0,0,0,0,0
"234",2058352339,"It means the freedom to choose our leaders, and the people have a say in what is going on in our country.",0,0,0,1,0,0,0,0,0,0,0,0,0
"235",2058997089,"Freedom of speech, the right to fair elections,and freedom fro political lier",1,0,0,1,0,0,0,0,0,0,0,0,0
"236",2044470385,"Democrace",0,0,0,0,0,0,0,0,1,0,0,0,0
"237",2060005515,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"238",2058493643,"Being able to stand up and let my voice be heard",0,0,0,1,0,0,0,0,0,0,0,0,0
"239",2059114289,"elective representatives",0,0,1,0,0,0,0,0,0,0,0,0,0
"240",2058375137,"Democracy means never allowing trump or any of his Q accolites anywhere near or into the oval office again. None of his supporters, or any authoritian figure who wants to just be a king to the USA and get rid of our just political system",0,0,0,0,0,0,0,0,1,0,0,0,0
"241",2058254061,"When working properly, the law's passed will be what the majority of the electorate wants,",0,0,0,1,0,0,1,0,0,0,0,0,0
"242",2059351991,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"243",2057440717,"It's supposed to mean, the rights of individuals to make choices of right from wrong",0,0,0,1,0,0,0,0,0,0,0,0,0
"244",2058118393,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"245",2056818403,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"246",2057530827,"As far as I know, democracy is a system where representatives are elected by the people for a set number of years and terms rather than them being appointed by officials or inheriting a ruling position.",0,0,0,1,0,0,0,0,0,0,0,0,0
"247",2058352117,"Leadership",0,0,0,0,0,0,0,0,1,0,0,0,0
"248",2059351993,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"249",2058606481,"Freedom",1,0,0,0,0,0,0,0,0,0,0,0,0
"250",2057907289,"It means that we the people make decisions. Not just the democrats trying to control us",0,0,0,1,0,0,1,0,0,0,0,0,0
"251",2057625915,"Freedom,rights",1,0,0,0,0,0,0,0,0,0,0,0,0
"252",2058252821,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"253",2058277919,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"254",2057269815,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"255",2058862881,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"256",2058442961,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"257",2057941255,"the population being involved with electing the government",0,0,0,1,0,0,0,0,0,0,0,0,0
"258",2059351997,"Form of leading/ruling a country",0,0,0,0,0,0,0,1,0,0,0,0,0
"259",2059828857,"Everyone chooses by voting",0,0,0,1,0,0,0,0,0,0,0,0,0
"260",2056910431,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"261",2055773819,"Stop pitting people against people. Things should be done for the good of the people not what the Congressmen can pocket with payoffs.",0,0,0,0,0,0,0,0,0,0,1,0,0
"262",2058597805,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"263",2057838335,"A government that is fairly elected and does the most for the majority of the people it serves.",0,0,0,1,0,0,0,0,0,0,0,0,0
"264",2058038227,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"265",2057406409,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"266",2058260467,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"267",2061490659,"The people choose their leaders and direct the course of their government .",0,0,0,1,0,0,0,0,0,0,0,0,0
"268",2058396981,"Groups of political people that are supposed to make the best decision for everyone",0,0,1,0,0,0,0,0,0,0,0,0,0
"269",2058646669,"People that are for the people which Democrats are crooks so right now we don't have one",0,0,0,0,0,0,1,0,0,0,0,0,0
"270",2058326903,"Freedom",1,0,0,0,0,0,0,0,0,0,0,0,0
"271",2058537735,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"272",2058397971,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"273",2058326135,"freedom of the press",1,0,0,0,0,0,0,0,0,0,0,0,0
"274",2059300553,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"275",2058396467,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"276",2058301863,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"277",2060891525,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"278",2060803115,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"279",2057814779,"Order and set rules and regulations that everyone follow even those who make them",0,0,0,0,0,0,0,1,0,0,0,0,0
"280",2059351999,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"281",2058327793,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"282",2058006965,"Freedom to survive on your own.",1,0,0,0,0,0,0,0,0,0,0,0,0
"283",2058233593,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"284",2053041089,"Nothing I have seen in my lifetime.",0,0,0,0,0,0,0,0,0,0,1,0,0
"285",2058288105,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"286",2058763911,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"287",2058419659,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"288",2058647345,"Not sure",0,0,0,0,0,0,0,0,0,1,0,0,0
"289",2058007407,"freedom with god given rights",1,0,0,0,0,0,0,0,0,0,0,0,0
"290",2058528467,"freedom",1,0,0,0,0,0,0,0,0,0,0,0,0
"291",2057035383,"__NA__",0,0,0,0,0,0,0,0,0,0,0,0,1
"292",2057075851,"The ability to be free in all that I do",1,0,0,0,0,0,0,0,0,0,0,0,0
"293",2058419143,"freedom, liberty, and justice",1,0,0,0,0,0,0,0,0,0,0,0,0
